Tickers,company,CEO Pay,Median Worker Pay,Pay Ratio
ANDV,ANDEAVOR,19900000,151793,131
APA,APACHE CORP,14433373,145954,99
APC,ANADARKO PETROLEUM CORP,16959896,160251,106
COP,CONOCOPHILLIPS,21848930,158943,138
CVX,CHEVRON CORP,24781568,137849,180
CXO,CONCHO RESOURCES INC,12238764,143172,86
DVN,DEVON ENERGY CORP,13448976,134800,100
EOG,EOG RESOURCES INC,10559647,146016,72
FTI,TECHNIPFMC PLC,5339944,110565,48
HAL,HALLIBURTON CO,23078364,79636,290
HES,HESS CORP,14571906,161039,90
HP,HELMERICH & PAYNE,6200000,80000,78
KMI,KINDER MORGAN INC,382026,103947,4
MPC,MARATHON PETROLEUM CORP,19670807,21034,935
NBL,NOBLE ENERGY INC,11262048,127488,88
NFX,NEWFIELD EXPLORATION CO,12095580,131614,92
NOV,NATIONAL OILWELL VARCO INC,12685758,52930,239
OKE,ONEOK INC,5608945,105847,53
OXY,OCCIDENTAL PETROLEUM CORP,12675860,115552,110
PSX,PHILLIPS 66,23650896,170988,138
PXD,PIONEER NATURAL RESOURCES CO,10934244,81000,135
RRC,RANGE RESOURCES CORP,8656866,123500,70
SLB,SCHLUMBERGER LTD,20759340,88604,234
VLO,VALERO ENERGY CORP,22532260,192837,117
WMB,WILLIAMS COS INC,10620236,124648,85
XEC,CIMAREX ENERGY CO,11054129,119127,93
XOM,EXXON MOBIL CORP,17466133,161562,108
