,index,Unnamed: 0,date,Tickers,company,L_term_rating,L_term_numrating,Debt/EBITDA,FFO/Total debt,EBITDA/Interest,FFO/Interest,CFO/Debt,FFO/Net profit,NWC/Revenue,Current Assets/Current Liabilities,(FFo+Cash)/Current Liabilities,EBITDA/Revenues,Cash/Total Debt,Total Debt/Tangible Net worth,Total Debt/Revenue,Debt/Capital,Cash/Asset,Total Fixed Capital/Total Fixed Assets,Equity/Asset,NWC/Total assets,Retained earnings/Total assets,EBITDA/Total assets etc,CEO Pay,Median Worker Pay,Pay Ratio
0,0,2009/12/31,2009/12/31,XOM,EXXON MOBIL CORP,AAA,11.0,-0.0329,0.07837633870653178,297.47222222222223,256.75,2.9607,9243.0,0.039622500187251886,1.0609669426249977,0.3829354027006781,0.13368536688887225,0.09067166393908302,1.0220032584581251,1.4721868524205428,37.15532451165721,0.045829172434779256,58.21656965342294,0.4945590447576964,0.013603459581781479,1.1635200987472305,0.04589774690021987,17466133,161562,108
1,1,2010/12/31,2010/12/31,XOM,EXXON MOBIL CORP,AAA,11.0,0.131,0.09023499809785693,141.48181818181817,122.9090909090909,3.2245,13520.0,-0.039056813803142534,0.9417399773282455,0.3407947886896684,0.16657747142184354,0.052225507405009634,0.9813464851092816,1.6037055272509313,-41.060838585913956,0.025866913490463127,65.1246985275634,0.5047072824038875,-0.012062411159961655,0.972119929919672,0.05144623318237414,17466133,161562,108
2,2,2011/12/31,2011/12/31,XOM,EXXON MOBIL CORP,AAA,11.0,0.0627,0.07912135660098175,206.54666666666665,179.66666666666663,3.2493,13475.0,-0.04228302255653097,0.9413973292045674,0.3372556609251016,0.14421098688313985,0.07435939591798389,1.0594983327527001,1.5854550870888762,-37.49625715543813,0.03825380906927008,65.50568721836572,0.4855551393738748,-0.013719898988678515,0.9721010596522599,0.04679325302369417,17466133,161562,108
3,3,2012/12/31,2012/12/31,XOM,EXXON MOBIL CORP,AAA,11.0,0.0304,0.08671785857464459,147.59459459459458,126.66666666666669,4.6474,14060.0,0.003165399520752596,1.005004755297089,0.3686056845289138,0.16155370825074694,0.059098899065593485,0.944512408248864,1.5988225897109725,505.09345794392516,0.028706241855030783,65.80152307641565,0.514267739181234,0.0009616680896957713,1.0591620605461436,0.04908102278344493,17466133,161562,108
4,4,2014/12/31,2014/12/31,XOM,EXXON MOBIL CORP,AAA,11.0,0.4769,0.06547566036727642,146.47058823529414,162.17647058823533,1.5493,11028.0,-0.15159313091605028,0.8186220661272106,0.2420435381306763,0.13090622330288493,0.02740620676961806,0.930218044448372,2.2136952093053823,-14.36739742386761,0.01320770373083295,66.38097742715243,0.5180761846446138,-0.03354287496459157,1.1142626604824704,0.02849842486115602,17466133,161562,108
5,5,2009/12/31,2009/12/31,CVX,CHEVRON CORP,AA,9.0,0.064,0.08640022203719122,99.86075949367088,78.81012658227849,1.8426,6226.0,0.24185750076919696,1.4198618900461641,0.5700660028232422,0.17337699441782778,0.12095475992228698,0.8193943804509739,1.583666652015296,6.547932757837348,0.05294585745439525,67.66494195540875,0.562267268452992,0.06685052332326981,0.6194106462723468,0.04792219704654935,24781568,137849,180
6,6,2010/03/31,2010/03/31,CVX,CHEVRON CORP,AA,9.0,0.0948,0.10474753018660812,122.55263157894736,100.44736842105264,2.3578,7634.0,0.2968501645436433,1.4810273525357325,0.5445113545672204,0.20851149566813676,0.10120746432491767,0.7970776735131352,1.631556560478184,5.496229260935143,0.04366253877299742,66.7298867197633,0.5685838088698412,0.07849312149267161,0.623120545544953,0.0551346103757725,24781568,137849,180
7,7,2010/06/30,2010/06/30,CVX,CHEVRON CORP,AA,9.0,0.028999999999999998,0.11965572738086908,129.49350649350652,111.03896103896105,2.7504,8550.0,0.3353326509723644,1.6297235997385922,0.6898858263176104,0.20411463664278404,0.13149534672171295,0.7468669321543173,1.4627430910951893,4.362065807948233,0.05470869772804025,65.9851685510529,0.5839495534102687,0.09537922280577132,0.636579600107135,0.058056665075169135,24781568,137849,180
8,8,2010/09/30,2010/09/30,CVX,CHEVRON CORP,AA,9.0,-0.0122,0.09657299889538487,115.43037974683544,90.74683544303798,2.8366,7169.0,0.3802510135426551,1.6567225325884545,0.6764990689013035,0.19664883981713105,0.14811272462752914,0.7548171271111472,1.6008367118088502,4.2099472579821935,0.062048882894372985,65.66589458804204,0.5810698705974638,0.0995095909119126,0.6311773768474992,0.051461915699298526,24781568,137849,180
9,9,2010/12/31,2010/12/31,CVX,CHEVRON CORP,AA,9.0,-0.0713,0.11061577040958484,118.04705882352941,102.75294117647059,2.7326,8734.0,0.3988454421111916,1.683475803115952,0.785674893147663,0.20182637380320215,0.1780693533270853,0.7802636519951776,1.588180867326414,3.981945635180796,0.07609501593882091,65.5495263879981,0.5726664104909374,0.10731778599223896,0.6233459075927239,0.0543056465099665,24781568,137849,180
10,10,2011/03/31,2011/03/31,CVX,CHEVRON CORP,AA,9.0,-0.0415,0.11130581980306607,157.93589743589746,119.70512820512822,2.9076,9337.0,0.31163154340950283,1.5264611412961906,0.6749917449644283,0.2188954831372828,0.15674844431728774,0.7899241960544282,1.4905646966843171,4.783099555251454,0.06752218387971408,66.74938661718315,0.5692321912743407,0.09006038945033276,0.6170610467504725,0.0632600032865007,24781568,137849,180
11,11,2011/06/30,2011/06/30,CVX,CHEVRON CORP,AA,9.0,-0.0446,0.1288473038094903,184.2467532467533,142.71428571428572,3.1895,10989.0,0.2916763705808375,1.5333901192504258,0.6906303236797274,0.22027108854627606,0.15635442681768616,0.7630171056398511,1.3241883646187529,4.539923347173427,0.06610746739243592,67.10868084885988,0.57719478278975,0.09313047487321346,0.6269922713504563,0.07033120659141273,24781568,137849,180
12,12,2011/09/30,2011/09/30,CVX,CHEVRON CORP,AA,9.0,-0.0948,0.13399172561056988,185.88888888888889,153.38888888888889,4.1346,11044.0,0.3489297822456862,1.639711794174037,0.7815263776362175,0.2257493210990605,0.1726338522014486,0.7043376459127344,1.3902373201545026,3.9842896505051484,0.06971616715417517,66.68877343998304,0.5961616666421687,0.10135767446190327,0.6506989255214382,0.0655760194807422,24781568,137849,180
13,13,2011/12/31,2011/12/31,CVX,CHEVRON CORP,AA,9.0,-0.1164,0.0966400513214118,185.57377049180332,138.29508196721312,4.048,8436.0,0.3486522001633697,1.5843452380952379,0.7232142857142857,0.20101573321021413,0.18173278498848705,0.7426726448242711,1.5501118727137124,4.446012019965366,0.07573254914691083,66.93167750436957,0.5832752513438422,0.09373000945224706,0.6414972741247124,0.05404011953750824,24781568,137849,180
14,14,2012/03/31,2012/03/31,CVX,CHEVRON CORP,AA,9.0,-0.1878,0.1092543245562531,228.22033898305085,164.0,4.2769,9676.0,0.3671050097182581,1.6119917097235599,0.8333187377762209,0.2357771979898089,0.21307754843954652,0.7278136171261864,1.5507888423891156,4.224373956594324,0.08781702266275769,67.06935848343302,0.5878635580994928,0.09756154311508214,0.6487179487179487,0.06265996556377681,24781568,137849,180
15,15,2012/06/30,2012/06/30,CVX,CHEVRON CORP,AA,9.0,-0.2202,0.11912816437734135,217.13559322033902,177.86440677966098,3.8015,10494.0,0.40365767229607097,1.7150906418422345,0.9708170014698676,0.22144820314255587,0.2407651265750937,0.6955498705072326,1.522704879777359,3.7722678999657417,0.09667743949967864,66.3905064053382,0.598457464023448,0.10644592235355252,0.6609383760524025,0.05839665601538889,24781568,137849,180
16,16,2012/09/30,2012/09/30,CVX,CHEVRON CORP,AA,9.0,-0.1904,0.0930787331879709,188.24137931034485,148.67241379310346,2.8454,8623.0,0.4261173523748995,1.6390983767417084,0.8392721971459811,0.20408621044170705,0.2300576412426329,0.7149295426833974,1.7317232742022917,4.06395858922618,0.0939461527611256,66.75193257543324,0.5916408068269977,0.10048310882290712,0.6553309471754002,0.04812574934762677,24781568,137849,180
17,17,2012/12/31,2012/12/31,CVX,CHEVRON CORP,AA,9.0,-0.1861,0.1134944823962165,170.1818181818182,163.62121212121212,3.1834,10799.0,0.3973911276167249,1.628668303519233,0.9276861919794224,0.2075272989302145,0.2200630583289543,0.7143822451798907,1.7580326293812245,4.4239352798958524,0.08987389583744666,67.27696679456963,0.5915993510228258,0.0923161445948614,0.6582525688679812,0.048209732940742205,24781568,137849,180
18,18,2013/03/31,2013/03/31,CVX,CHEVRON CORP,AA,9.0,-0.0757,0.10069429965389266,200.75,172.48214285714286,2.5553,9659.0,0.3828903813405277,1.5769352746143863,0.7793859016866079,0.21510437594474105,0.18112255535632374,0.7009631264340938,1.835409371830932,4.793563540052972,0.07318141611558064,67.36275378540697,0.5959563624110189,0.08428878311781307,0.6651109894275725,0.047352681015963946,24781568,137849,180
19,19,2013/06/30,2013/06/30,CVX,CHEVRON CORP,AA,9.0,-0.0213,0.08787193144047095,187.52830188679246,165.6037735849057,1.7403,8777.0,0.4265305738829677,1.6791069344267202,0.8801065453565977,0.18682682005300846,0.2065395859196668,0.7158911728448152,1.8775540893625817,4.401921466660791,0.08453255097357898,67.3574229291282,0.5907198583885137,0.09297761096177802,0.661906674096899,0.040725594964924935,24781568,137849,180
20,20,2013/09/30,2013/09/30,CVX,CHEVRON CORP,AA,9.0,0.0304,0.08458703876578391,121.75862068965515,98.9425287356322,2.009,8608.0,0.3683891136447223,1.5985360023902002,0.7655213624141022,0.1947958808385436,0.16718911217019605,0.7195279743765599,1.8713681500551675,5.079868217441222,0.068649682453861,67.58302222152669,0.589389036386672,0.08083102671906649,0.6643613973644074,0.042741629612892296,24781568,137849,180
21,21,2013/12/31,2013/12/31,CVX,CHEVRON CORP,AA,9.0,0.0948,0.08289297950177109,109.375,97.32954545454544,1.7132,8565.0,0.33252286673613524,1.5218971470107214,0.7514083227330547,0.18573192852456485,0.1572208350270019,0.7087414602024859,1.9938636100497855,5.996169916434541,0.06401894755924067,68.65060727685514,0.5928087549703845,0.06790855674612714,0.6703290207406415,0.037930586042332515,24781568,137849,180
22,22,2014/03/31,2014/03/31,CVX,CHEVRON CORP,AA,9.0,0.1798,0.08120043597549517,111.0340909090909,98.20454545454544,1.6355,8642.0,0.287506118453255,1.3954055873443283,0.6802984404801975,0.199278022515908,0.14669072048708987,0.7231587744868214,2.1705824767498783,7.549691423707173,0.06045585854909037,68.45489479255592,0.5878685553636568,0.054589177425475734,0.6689952679311333,0.03783718894972855,24781568,137849,180
23,23,2014/06/30,2014/06/30,CVX,CHEVRON CORP,AA,9.0,0.2301,0.08860370183973608,118.13483146067415,106.82022471910112,1.5741,9507.0,0.235527374071788,1.3466196872935476,0.6459480290684871,0.19665937190206312,0.13009562154001006,0.7147196355061748,2.0069580831603164,8.521124523506991,0.05326947661661165,68.10806820070178,0.5905359766452327,0.048052815356141115,0.6733271003071991,0.040122879658074,24781568,137849,180
24,24,2014/09/30,2014/09/30,CVX,CHEVRON CORP,AA,9.0,0.2816,0.0882412785320558,113.11363636363636,108.42045454545456,1.3781,9541.0,0.20108236430209636,1.269494176013805,0.6405306298533219,0.2002575141833984,0.1314694239946728,0.7081461299660742,2.175270591075524,10.817808904452226,0.053554407736850634,68.50092012818743,0.5926474300288964,0.03765573727258685,0.6784475061315369,0.037501271516891393,24781568,137849,180
25,25,2014/12/31,2014/12/31,CVX,CHEVRON CORP,AA,9.0,0.4001,0.07596849820184823,67.52688172043011,89.72043010752688,1.1315,8344.0,0.2569626249781833,1.322808995802794,0.6618116895320428,0.1565811454359588,0.1164018755405836,0.7245148352880645,2.7385493804074104,10.657384048127303,0.04805921225744852,68.3781326210169,0.5871268221903122,0.03874057422958658,0.6771067489643869,0.02360671513310729,24781568,137849,180
26,26,2015/03/31,2015/03/31,CVX,CHEVRON CORP,AA,9.0,0.6545,0.061969929753203735,47.41121495327103,65.21495327102804,0.7479,6978.0,0.3884946448518299,1.4015961962981829,0.6674477840040753,0.16666666666666666,0.11256360842961556,0.7388018082447035,3.6994217754123135,9.52245243128964,0.04701339742733787,68.39954529812118,0.5823392827999585,0.043860625213275765,0.6705278853429474,0.018816486402278898,24781568,137849,180
27,27,2015/06/30,2015/06/30,CVX,CHEVRON CORP,AA,9.0,0.7429,0.06809630621178682,39.286885245901644,61.713114754098356,0.7746,7529.0,0.3576755392381826,1.4411348521296166,0.6963704542238573,0.1374770536943552,0.10994537100683767,0.7307455899750831,3.1712941716383662,8.866399358460304,0.04562121183689554,67.05413583457856,0.5850556379125931,0.04679964721998086,0.6735771518642922,0.017988027997222794,24781568,137849,180
28,28,2015/09/30,2015/09/30,CVX,CHEVRON CORP,AA,9.0,1.0456,0.056038965078970056,44.387096774193544,50.846774193548384,0.5964,6305.0,0.3124293602867569,1.320959394904459,0.6382032908704883,0.17773759162979946,0.11494876056563358,0.7433828873472085,3.6332547550618397,11.62904392764858,0.048176748656169326,67.13392721063666,0.5808850098156447,0.03604036520903412,0.6690954333970326,0.020502963318917187,24781568,137849,180
29,29,2009/12/31,2009/12/31,SLB,SCHLUMBERGER LTD,A+,7.0,0.1359,0.10002809778027537,30.98076923076923,27.384615384615387,0.9609,1422.2110552763822,1.1126392757660166,1.8804243008678883,0.2296459567433531,0.28046657381615603,0.01706940151728013,1.083574364439032,2.4784122562674096,2.227507432326709,0.007261317794710892,90.9236663837012,0.5746003287016286,0.1909756461975198,0.5780666367847004,0.048139847601972215,20759340,88604,234
30,30,2010/03/31,2010/03/31,SLB,SCHLUMBERGER LTD,A+,7.0,0.1291,0.09682254196642684,33.08888888888889,28.711111111111112,1.1440000000000001,1292.0,1.1273669167559843,1.9344092389695,0.23141841871483565,0.26598785280457304,0.020308752997601917,1.0031574199368516,2.383708467309753,2.114403422595468,0.008241340510294072,89.45963167968222,0.5941976097071435,0.1919228780829,0.6023781285162546,0.04528175653073017,20759340,88604,234
31,31,2010/06/30,2010/06/30,SLB,SCHLUMBERGER LTD,A+,7.0,0.2249,0.1108657580141628,30.811320754716984,27.47169811320755,1.2206,1456.0,0.9188005390835581,1.8048996458087367,0.24867178276269186,0.2750547414519117,0.017436990786568192,1.0365430149960535,2.212059962944248,2.407957462412908,0.006935820940727504,91.78297397121159,0.602235212163431,0.1651876306145319,0.6141684586728049,0.049459369415755516,20759340,88604,234
